,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,"Für Elise, WoO 59",classical,0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931,audio_features,6MQAB3vorg90FA3tQpbYXK,spotify:track:6MQAB3vorg90FA3tQpbYXK,https://api.spotify.com/v1/tracks/6MQAB3vorg90FA3tQpbYXK,https://api.spotify.com/v1/audio-analysis/6MQAB3vorg90FA3tQpbYXK,188467,3
1,I'm Gonna Kill Santa Claus,pop,0.8,0.533,7,-7.499,1,0.0993,0.0162,0,0.204,0.529,149.932,audio_features,0gQig6lj1dFXRiw78ByXks,spotify:track:0gQig6lj1dFXRiw78ByXks,https://api.spotify.com/v1/tracks/0gQig6lj1dFXRiw78ByXks,https://api.spotify.com/v1/audio-analysis/0gQig6lj1dFXRiw78ByXks,153600,4
2,Bellbottoms,rock,0.342,0.85,2,-5.35,1,0.18,0.00882,0.109,0.283,0.474,163.94,audio_features,1ImAVjs9AXcxGP0fbTsbWf,spotify:track:1ImAVjs9AXcxGP0fbTsbWf,https://api.spotify.com/v1/tracks/1ImAVjs9AXcxGP0fbTsbWf,https://api.spotify.com/v1/audio-analysis/1ImAVjs9AXcxGP0fbTsbWf,318280,4
3,Brighton Rock,rock,0.355,0.846,11,-8.197,0,0.384,0.367,0.0178,0.695,0.394,137.423,audio_features,6eBHgxZ1ZAe4PfsmYKSAyl,spotify:track:6eBHgxZ1ZAe4PfsmYKSAyl,https://api.spotify.com/v1/tracks/6eBHgxZ1ZAe4PfsmYKSAyl,https://api.spotify.com/v1/audio-analysis/6eBHgxZ1ZAe4PfsmYKSAyl,310320,4
4,Hocus Pocus,jazz,0.266,0.887,2,-6.453,1,0.354,0.0388,0.931,0.214,0.474,187.108,audio_features,5qwwel5Fumti8RNhv1SWpx,spotify:track:5qwwel5Fumti8RNhv1SWpx,https://api.spotify.com/v1/tracks/5qwwel5Fumti8RNhv1SWpx,https://api.spotify.com/v1/audio-analysis/5qwwel5Fumti8RNhv1SWpx,192267,4
5,Can I Get A Witness,rap,0.774,0.587,0,-4.65,0,0.0326,0.117,0,0.133,0.943,99.986,audio_features,1xq57PikDPbkU2M1WK4unF,spotify:track:1xq57PikDPbkU2M1WK4unF,https://api.spotify.com/v1/tracks/1xq57PikDPbkU2M1WK4unF,https://api.spotify.com/v1/audio-analysis/1xq57PikDPbkU2M1WK4unF,196253,4
6,No Good,alternative,0.378,0.925,9,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525,audio_features,0Tr5G2mE56eLUGvCaXRM8I,spotify:track:0Tr5G2mE56eLUGvCaXRM8I,https://api.spotify.com/v1/tracks/0Tr5G2mE56eLUGvCaXRM8I,https://api.spotify.com/v1/audio-analysis/0Tr5G2mE56eLUGvCaXRM8I,234240,4
7,Way Down We Go,alternative,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,audio_features,0y1QJc3SJVPKJ1OvFmFqe6,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,https://api.spotify.com/v1/tracks/0y1QJc3SJVPKJ1OvFmFqe6,https://api.spotify.com/v1/audio-analysis/0y1QJc3SJVPKJ1OvFmFqe6,213707,4
8,Broken Bones,alternative,0.779,0.486,5,-7.205,1,0.193,0.802,5.76e-05,0.0992,0.654,123.993,audio_features,0lwUIYJfWGB8qUEAJtYfb6,spotify:track:0lwUIYJfWGB8qUEAJtYfb6,https://api.spotify.com/v1/tracks/0lwUIYJfWGB8qUEAJtYfb6,https://api.spotify.com/v1/audio-analysis/0lwUIYJfWGB8qUEAJtYfb6,245960,4
9,Glass House,alternative,0.358,0.92,6,-2.843,1,0.218,0.00013,0.0118,0.0765,0.493,99.919,audio_features,3HtCaD8SkNbjy3TrEcS4Km,spotify:track:3HtCaD8SkNbjy3TrEcS4Km,https://api.spotify.com/v1/tracks/3HtCaD8SkNbjy3TrEcS4Km,https://api.spotify.com/v1/audio-analysis/3HtCaD8SkNbjy3TrEcS4Km,241547,4
10,Hot Blood,alternative,0.325,0.903,2,-3.173,1,0.117,0.00327,6.13e-06,0.0962,0.401,148.446,audio_features,7d9sZF7jmepe2EYdETlNWK,spotify:track:7d9sZF7jmepe2EYdETlNWK,https://api.spotify.com/v1/tracks/7d9sZF7jmepe2EYdETlNWK,https://api.spotify.com/v1/audio-analysis/7d9sZF7jmepe2EYdETlNWK,218600,4
