,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,By the Way,metal,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,audio_features,1f2V8U1BiWaC9aJWmpOARe,spotify:track:1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/tracks/1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/audio-analysis/1f2V8U1BiWaC9aJWmpOARe,216933,4
1,Comatose,metal,0.359,0.955,4,-2.323,0,0.12,0.00116,0,0.349,0.446,170.033,audio_features,5pRElcsPZrgZXkoON2o5Go,spotify:track:5pRElcsPZrgZXkoON2o5Go,https://api.spotify.com/v1/tracks/5pRElcsPZrgZXkoON2o5Go,https://api.spotify.com/v1/audio-analysis/5pRElcsPZrgZXkoON2o5Go,230427,4
2,3's & 7's,metal,0.438,0.99,10,-3.89,0,0.108,0.0651,0.0222,0.359,0.452,131.306,audio_features,63wsuMhok6GgcBRd2strGk,spotify:track:63wsuMhok6GgcBRd2strGk,https://api.spotify.com/v1/tracks/63wsuMhok6GgcBRd2strGk,https://api.spotify.com/v1/audio-analysis/63wsuMhok6GgcBRd2strGk,214067,4
3,Bad Company,metal,0.557,0.886,11,-4.196,0,0.0498,0.000595,9.84e-05,0.0904,0.17,114.025,audio_features,6nULLS7CipGMSzgQDxDpd1,spotify:track:6nULLS7CipGMSzgQDxDpd1,https://api.spotify.com/v1/tracks/6nULLS7CipGMSzgQDxDpd1,https://api.spotify.com/v1/audio-analysis/6nULLS7CipGMSzgQDxDpd1,262440,4
4,Cult of Personality,metal,0.504,0.918,0,-3.463,1,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,audio_features,5e3YOg6fIkP0wD5TyxcHOH,spotify:track:5e3YOg6fIkP0wD5TyxcHOH,https://api.spotify.com/v1/tracks/5e3YOg6fIkP0wD5TyxcHOH,https://api.spotify.com/v1/audio-analysis/5e3YOg6fIkP0wD5TyxcHOH,294827,4
5,Immigrant Song - Remaster,rock,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,audio_features,78lgmZwycJ3nzsdgmPPGNx,spotify:track:78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx,146250,4
6,Alive,alternative,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,audio_features,1L94M3KIu7QluZe63g64rv,spotify:track:1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv,340907,4
7,Lonely Day,metal,0.47,0.796,8,-3.277,0,0.0336,0.362,1.11e-06,0.133,0.215,113.108,audio_features,1VNWaY3uNfoeWqb5U8x2QX,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/tracks/1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/audio-analysis/1VNWaY3uNfoeWqb5U8x2QX,167907,3
8,Like a Stone,metal,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,audio_features,3YuaBvuZqcwN3CEAyyoaei,spotify:track:3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei,293960,4
9,Gasoline,country,0.517,0.904,5,-4.234,1,0.0395,0.00105,0.000913,0.264,0.529,127.049,audio_features,0GoXEhMzYwI1LCaohRqxGl,spotify:track:0GoXEhMzYwI1LCaohRqxGl,https://api.spotify.com/v1/tracks/0GoXEhMzYwI1LCaohRqxGl,https://api.spotify.com/v1/audio-analysis/0GoXEhMzYwI1LCaohRqxGl,239115,4
