,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Hotel California - 2013 Remaster,rock,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
1,Sweet Dreams (Are Made of This) - Remastered,pop,0.692,0.711,0,-7.498,0,0.0317,0.227,0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
2,Africa,rock,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
3,WANTED U,alternative,0.305,0.715,7,-7.54,1,0.0554,0.105,0.0495,0.0906,0.29,82.977,audio_features,0Y9D1Bc4fAkeZnVsGKdij6,spotify:track:0Y9D1Bc4fAkeZnVsGKdij6,https://api.spotify.com/v1/tracks/0Y9D1Bc4fAkeZnVsGKdij6,https://api.spotify.com/v1/audio-analysis/0Y9D1Bc4fAkeZnVsGKdij6,251015,4
4,4th Dimension,rap,0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945,audio_features,6JyEh4kl9DLwmSAoNDRn5b,spotify:track:6JyEh4kl9DLwmSAoNDRn5b,https://api.spotify.com/v1/tracks/6JyEh4kl9DLwmSAoNDRn5b,https://api.spotify.com/v1/audio-analysis/6JyEh4kl9DLwmSAoNDRn5b,153351,4
5,I Thought About Killing You,rap,0.742,0.407,2,-6.938,1,0.426,0.822,0,0.0541,0.39,116.064,audio_features,6EuE9M1viu9gkdFSafia9o,spotify:track:6EuE9M1viu9gkdFSafia9o,https://api.spotify.com/v1/tracks/6EuE9M1viu9gkdFSafia9o,https://api.spotify.com/v1/audio-analysis/6EuE9M1viu9gkdFSafia9o,274187,4
6,Yikes,rap,0.676,0.777,1,-3.241,0,0.357,0.145,0,0.228,0.226,173.931,audio_features,2r4JRwcbIeuAzWjH4YXlLs,spotify:track:2r4JRwcbIeuAzWjH4YXlLs,https://api.spotify.com/v1/tracks/2r4JRwcbIeuAzWjH4YXlLs,https://api.spotify.com/v1/audio-analysis/2r4JRwcbIeuAzWjH4YXlLs,188773,4
7,All Mine,rap,0.925,0.308,11,-6.562,0,0.338,0.125,0,0.0933,0.265,122.099,audio_features,3qnoOm4fwZPBS116f5hpgF,spotify:track:3qnoOm4fwZPBS116f5hpgF,https://api.spotify.com/v1/tracks/3qnoOm4fwZPBS116f5hpgF,https://api.spotify.com/v1/audio-analysis/3qnoOm4fwZPBS116f5hpgF,145507,4
8,Wouldn't Leave,rap,0.555,0.433,3,-8.559,1,0.546,0.494,0,0.313,0.352,164.236,audio_features,3dG6tjetoR4GMmUGZUprLt,spotify:track:3dG6tjetoR4GMmUGZUprLt,https://api.spotify.com/v1/tracks/3dG6tjetoR4GMmUGZUprLt,https://api.spotify.com/v1/audio-analysis/3dG6tjetoR4GMmUGZUprLt,205547,4
9,No Mistakes,rap,0.64,0.643,10,-2.442,0,0.0625,0.039,0,0.109,0.335,80.025,audio_features,1DdgqEZk4Hqfpl3drdXJun,spotify:track:1DdgqEZk4Hqfpl3drdXJun,https://api.spotify.com/v1/tracks/1DdgqEZk4Hqfpl3drdXJun,https://api.spotify.com/v1/audio-analysis/1DdgqEZk4Hqfpl3drdXJun,123040,4
10,Ghost Town,rap,0.572,0.543,7,-4.251,0,0.0287,0.0954,0,0.329,0.329,83.364,audio_features,6Bg7MznA9X0dIhlAsLyBYj,spotify:track:6Bg7MznA9X0dIhlAsLyBYj,https://api.spotify.com/v1/tracks/6Bg7MznA9X0dIhlAsLyBYj,https://api.spotify.com/v1/audio-analysis/6Bg7MznA9X0dIhlAsLyBYj,271387,4
11,Violent Crimes,rap,0.665,0.417,1,-6.731,0,0.524,0.374,0,0.186,0.04,110.111,audio_features,2VYb3Fb5iK5Y8HGZ8oEEkp,spotify:track:2VYb3Fb5iK5Y8HGZ8oEEkp,https://api.spotify.com/v1/tracks/2VYb3Fb5iK5Y8HGZ8oEEkp,https://api.spotify.com/v1/audio-analysis/2VYb3Fb5iK5Y8HGZ8oEEkp,215320,4
12,Why You Always Hatin?,rap,0.926,0.336,0,-9.326,0,0.594,0.0392,0,0.138,0.38,92.995,audio_features,39hnH8WdPmNT3Q3yzwC9Rg,spotify:track:39hnH8WdPmNT3Q3yzwC9Rg,https://api.spotify.com/v1/tracks/39hnH8WdPmNT3Q3yzwC9Rg,https://api.spotify.com/v1/audio-analysis/39hnH8WdPmNT3Q3yzwC9Rg,196600,4
13,Margaritaville,rock,0.793,0.474,2,-15.903,1,0.0378,0.634,0.00051,0.0951,0.842,125.143,audio_features,57FvuUotRyzRl8hwIhCVuO,spotify:track:57FvuUotRyzRl8hwIhCVuO,https://api.spotify.com/v1/tracks/57FvuUotRyzRl8hwIhCVuO,https://api.spotify.com/v1/audio-analysis/57FvuUotRyzRl8hwIhCVuO,249200,4
14,Hit Me Harder (feat. Jaymes Young),rap,0.491,0.675,7,-7.152,1,0.0829,0.163,0.00176,0.132,0.665,87.222,audio_features,6uq7EUya2D6qL2rv7ozdIe,spotify:track:6uq7EUya2D6qL2rv7ozdIe,https://api.spotify.com/v1/tracks/6uq7EUya2D6qL2rv7ozdIe,https://api.spotify.com/v1/audio-analysis/6uq7EUya2D6qL2rv7ozdIe,232963,4
15,I Mean It (feat. Remo),rap,0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140.0,audio_features,6jmTHeoWvBaSrwWttr8Xvu,spotify:track:6jmTHeoWvBaSrwWttr8Xvu,https://api.spotify.com/v1/tracks/6jmTHeoWvBaSrwWttr8Xvu,https://api.spotify.com/v1/audio-analysis/6jmTHeoWvBaSrwWttr8Xvu,236480,4
16,The Explanation,rap,0.597,0.113,0,-34.475,1,0.954,0.461,0.000393,0.148,0.313,81.311,audio_features,0VJYhKhrHgJ7fgjGaC2k07,spotify:track:0VJYhKhrHgJ7fgjGaC2k07,https://api.spotify.com/v1/tracks/0VJYhKhrHgJ7fgjGaC2k07,https://api.spotify.com/v1/audio-analysis/0VJYhKhrHgJ7fgjGaC2k07,50748,5
17,Jocelyn Flores,rap,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,7m9OqQk4RVRkw9JJdeAw96,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4
